config,scenario,planner,runs,response_time_mean_s,path_length_mean_m,success_rate_pct,compute_time_mean_ms,replans_mean
iters10000_gb25_step1_informed,high_crowding,A*,30,25.5096,25.8333,100.0,0.4074,6.7667
iters10000_gb25_step1_informed,high_crowding,RRT*,30,999.1287,0.0,0.0,2.0433,3.9667
iters10000_gb25_step1_informed,low_crowding,A*,30,24.0895,23.5,100.0,0.4391,1.9
iters10000_gb25_step1_informed,low_crowding,RRT*,30,835.9392,3.3793,16.67,1.7444,0.9333
iters10000_gb25_step1_informed,moderate_crowding,A*,30,25.3345,24.6667,100.0,0.4264,3.9
iters10000_gb25_step1_informed,moderate_crowding,RRT*,30,901.3038,2.134,10.0,1.1461,3.0667
