scenario,planner,runs,response_time_mean_s,response_time_std_s,path_length_mean_m,path_length_std_m,success_rate_pct,compute_time_mean_ms,replans_mean
high_crowding,A*,10,30.1921,6.9793,10.9497,3.1213,100.0,0.3647,0.0
high_crowding,RRT*,10,28.7745,6.3044,10.2637,2.8245,100.0,1.2394,0.0
low_crowding,A*,10,30.6469,7.122,10.9497,3.1213,100.0,0.5114,0.0
low_crowding,RRT*,10,28.7579,6.2862,10.2637,2.8245,100.0,1.2233,0.0
moderate_crowding,A*,10,30.1304,6.9115,10.9497,3.1213,100.0,0.3405,0.0
moderate_crowding,RRT*,10,28.9022,6.3886,10.2637,2.8245,100.0,1.4571,0.0
