config,scenario,planner,runs,response_time_mean_s,path_length_mean_m,success_rate_pct,compute_time_mean_ms,replans_mean
iters2000_gb60_step4,high_crowding,A*,30,27.442,26.5667,100.0,0.5209,6.5333
iters2000_gb60_step4,high_crowding,RRT*,30,999.1293,0.0,0.0,1.3691,4.2
iters2000_gb60_step4,low_crowding,A*,30,24.9157,24.5,100.0,0.5227,1.8667
iters2000_gb60_step4,low_crowding,RRT*,30,770.2412,4.4175,23.33,1.6256,1.5667
iters2000_gb60_step4,moderate_crowding,A*,30,25.1258,24.9,100.0,0.3774,3.8
iters2000_gb60_step4,moderate_crowding,RRT*,30,966.4804,0.7317,3.33,1.844,2.2667
