config,scenario,planner,runs,response_time_mean_s,path_length_mean_m,success_rate_pct,compute_time_mean_ms,replans_mean
iters2000_gb40_step4_informed,high_crowding,A*,30,58.9469,24.1,96.67,0.4243,6.5
iters2000_gb40_step4_informed,high_crowding,RRT*,30,999.1028,0.0,0.0,4.2824,2.7667
iters2000_gb40_step4_informed,low_crowding,A*,30,25.4327,25.5333,100.0,0.4596,1.9
iters2000_gb40_step4_informed,low_crowding,RRT*,30,641.3555,8.8866,36.67,1.3102,1.6
iters2000_gb40_step4_informed,moderate_crowding,A*,30,26.9206,26.4,100.0,0.4994,3.8667
iters2000_gb40_step4_informed,moderate_crowding,RRT*,30,966.4183,0.5393,3.33,0.9399,1.8667
