config,scenario,planner,runs,response_time_mean_s,path_length_mean_m,success_rate_pct,compute_time_mean_ms,replans_mean
iters10000_gb25_step4_informed,high_crowding,A*,30,59.2285,25.2667,96.67,0.4658,6.8
iters10000_gb25_step4_informed,high_crowding,RRT*,30,999.1284,0.0,0.0,1.8493,3.2667
iters10000_gb25_step4_informed,low_crowding,A*,30,23.4062,22.4,100.0,0.392,1.8333
iters10000_gb25_step4_informed,low_crowding,RRT*,30,868.9918,2.8635,13.33,0.5728,1.1333
iters10000_gb25_step4_informed,moderate_crowding,A*,30,25.9835,24.4333,100.0,0.5106,4.0
iters10000_gb25_step4_informed,moderate_crowding,RRT*,30,900.9145,1.8577,10.0,1.533,2.5333
