config,scenario,planner,runs,response_time_mean_s,path_length_mean_m,success_rate_pct,compute_time_mean_ms,replans_mean
iters2000_gb60_step4_informed,high_crowding,A*,30,28.4601,28.5667,100.0,0.5296,6.8333
iters2000_gb60_step4_informed,high_crowding,RRT*,30,999.1315,0.0,0.0,4.3494,3.0
iters2000_gb60_step4_informed,low_crowding,A*,30,25.1628,25.0667,100.0,0.4362,1.7333
iters2000_gb60_step4_informed,low_crowding,RRT*,30,705.7788,5.9174,30.0,0.6726,1.2
iters2000_gb60_step4_informed,moderate_crowding,A*,30,26.2754,24.9,100.0,0.4475,3.7667
iters2000_gb60_step4_informed,moderate_crowding,RRT*,30,933.9143,1.291,6.67,1.6423,1.9333
