config,scenario,planner,runs,response_time_mean_s,path_length_mean_m,success_rate_pct,compute_time_mean_ms,replans_mean
iters2000_gb60_step1_informed,high_crowding,A*,30,27.8937,26.9667,100.0,0.2652,6.8
iters2000_gb60_step1_informed,high_crowding,RRT*,30,999.1125,0.0,0.0,1.5763,3.9667
iters2000_gb60_step1_informed,low_crowding,A*,30,23.8727,23.0667,100.0,0.4042,1.9667
iters2000_gb60_step1_informed,low_crowding,RRT*,30,869.012,2.9093,13.33,0.5303,0.9333
iters2000_gb60_step1_informed,moderate_crowding,A*,30,24.4726,24.6,100.0,0.4287,3.8333
iters2000_gb60_step1_informed,moderate_crowding,RRT*,30,900.9226,1.6183,10.0,0.843,2.7333
