config,scenario,planner,runs,response_time_mean_s,path_length_mean_m,success_rate_pct,compute_time_mean_ms,replans_mean
iters2000_gb60_step2_informed,high_crowding,A*,30,26.6306,26.2333,100.0,0.3817,6.8333
iters2000_gb60_step2_informed,high_crowding,RRT*,30,966.8411,0.9629,3.33,3.0171,3.7333
iters2000_gb60_step2_informed,low_crowding,A*,30,26.0016,25.1667,100.0,0.4805,1.9
iters2000_gb60_step2_informed,low_crowding,RRT*,30,836.6826,3.8787,16.67,0.541,1.1333
iters2000_gb60_step2_informed,moderate_crowding,A*,30,24.9394,24.6,100.0,0.4832,3.5
iters2000_gb60_step2_informed,moderate_crowding,RRT*,30,999.1268,0.0,0.0,2.1148,1.7333
