config,scenario,planner,runs,response_time_mean_s,path_length_mean_m,success_rate_pct,compute_time_mean_ms,replans_mean
iters5000_gb25,high_crowding,A*,30,59.1305,25.4667,96.67,0.3948,6.6
iters5000_gb25,high_crowding,RRT*,30,999.1119,0.0,0.0,1.4292,3.3667
iters5000_gb25,low_crowding,A*,30,21.6466,21.0,100.0,0.3443,1.9667
iters5000_gb25,low_crowding,RRT*,30,836.0749,3.4937,16.67,0.8347,1.2
iters5000_gb25,moderate_crowding,A*,30,25.3383,24.8667,100.0,0.4333,3.8333
iters5000_gb25,moderate_crowding,RRT*,30,966.3427,0.6393,3.33,1.2098,2.2667
