scenario,planner,run,response_time_s,path_length_m,success,compute_time_ms,replans
low_crowding,A*,1,22.2147,22.0,1,0.4185,2
low_crowding,A*,2,20.6601,24.0,1,0.34,2
low_crowding,A*,3,29.5792,28.0,1,0.1862,2
low_crowding,A*,4,30.754,29.0,1,1.0946,2
low_crowding,A*,5,15.425,15.0,1,0.3779,2
low_crowding,A*,6,16.5488,18.0,1,0.1295,2
low_crowding,A*,7,23.3275,27.0,1,0.165,2
low_crowding,A*,8,34.733,28.0,1,0.9127,2
low_crowding,A*,9,33.4671,40.0,1,0.3831,2
low_crowding,A*,10,34.0338,38.0,1,1.9967,2
low_crowding,A*,11,15.9594,18.0,1,0.1192,2
low_crowding,A*,12,28.4284,24.0,1,0.8236,2
low_crowding,A*,13,26.7143,27.0,1,0.5086,2
low_crowding,A*,14,26.953,28.0,1,0.1835,2
low_crowding,A*,15,25.0077,24.0,1,0.1562,2
low_crowding,A*,16,39.1064,34.0,1,0.2374,2
low_crowding,A*,17,24.0662,26.0,1,0.768,2
low_crowding,A*,18,33.1308,35.0,1,0.2343,2
low_crowding,A*,19,36.3439,36.0,1,0.3732,2
low_crowding,A*,20,23.3291,25.0,1,0.134,2
low_crowding,A*,21,19.9528,23.0,1,0.7915,2
low_crowding,A*,22,26.6346,24.0,1,0.8477,2
low_crowding,A*,23,18.848,15.0,1,0.2882,2
low_crowding,A*,24,28.6989,30.0,1,0.8944,1
low_crowding,A*,25,24.2695,24.0,1,1.0402,2
low_crowding,A*,26,21.1248,20.0,1,0.1772,2
low_crowding,A*,27,24.4399,22.0,1,0.3758,2
low_crowding,A*,28,20.6166,23.0,1,0.1342,2
low_crowding,A*,29,21.2141,23.0,1,0.2428,2
low_crowding,A*,30,24.5396,21.0,1,0.2149,2
low_crowding,RRT*,1,999.134,0.0,0,0.7998,0
low_crowding,RRT*,2,999.0561,0.0,0,0.2591,1
low_crowding,RRT*,3,999.0954,0.0,0,0.7498,0
low_crowding,RRT*,4,999.1683,0.0,0,0.3619,0
low_crowding,RRT*,5,999.1787,0.0,0,0.214,2
low_crowding,RRT*,6,20.8937,17.8306,1,0.418,2
low_crowding,RRT*,7,999.1664,0.0,0,0.7412,2
low_crowding,RRT*,8,21.2979,18.4164,1,0.3512,2
low_crowding,RRT*,9,999.0662,0.0,0,0.5816,0
low_crowding,RRT*,10,999.1306,0.0,0,0.1233,2
low_crowding,RRT*,11,999.1854,0.0,0,0.2041,2
low_crowding,RRT*,12,29.2737,24.1312,1,0.8218,2
low_crowding,RRT*,13,21.4508,21.9443,1,1.0143,2
low_crowding,RRT*,14,999.0752,0.0,0,0.3517,2
low_crowding,RRT*,15,999.0728,0.0,0,0.2091,2
low_crowding,RRT*,16,24.1325,20.0088,1,0.2435,2
low_crowding,RRT*,17,999.1009,0.0,0,2.7483,0
low_crowding,RRT*,18,999.0771,0.0,0,0.1303,2
low_crowding,RRT*,19,19.6776,16.8306,1,0.1067,2
low_crowding,RRT*,20,999.0571,0.0,0,5.6252,0
low_crowding,RRT*,21,999.1184,0.0,0,0.3325,0
low_crowding,RRT*,22,999.1237,0.0,0,0.4127,0
low_crowding,RRT*,23,999.1176,0.0,0,0.3133,2
low_crowding,RRT*,24,999.0546,0.0,0,0.2695,2
low_crowding,RRT*,25,999.1984,0.0,0,0.3554,2
low_crowding,RRT*,26,999.0895,0.0,0,1.096,0
low_crowding,RRT*,27,999.137,0.0,0,0.2155,0
low_crowding,RRT*,28,999.1516,0.0,0,0.7206,0
low_crowding,RRT*,29,999.1572,0.0,0,0.4505,0
low_crowding,RRT*,30,999.1831,0.0,0,0.1559,2
moderate_crowding,A*,1,31.3178,31.0,1,0.9827,4
moderate_crowding,A*,2,24.6469,23.0,1,0.2876,4
moderate_crowding,A*,3,30.8973,25.0,1,0.6209,4
moderate_crowding,A*,4,30.4542,25.0,1,0.4161,4
moderate_crowding,A*,5,20.9179,22.0,1,0.1375,4
moderate_crowding,A*,6,20.1034,17.0,1,0.1865,4
moderate_crowding,A*,7,19.9165,16.0,1,0.3611,4
moderate_crowding,A*,8,21.9382,21.0,1,0.4581,4
moderate_crowding,A*,9,22.7067,27.0,1,0.8711,4
moderate_crowding,A*,10,32.6471,28.0,1,0.7764,4
moderate_crowding,A*,11,19.2662,21.0,1,0.1553,4
moderate_crowding,A*,12,30.4275,27.0,1,0.9171,4
moderate_crowding,A*,13,33.1619,32.0,1,0.2896,4
moderate_crowding,A*,14,17.9713,20.0,1,0.187,4
moderate_crowding,A*,15,16.1457,17.0,1,0.3762,4
moderate_crowding,A*,16,18.5523,19.0,1,0.118,4
moderate_crowding,A*,17,20.0571,21.0,1,0.5796,4
moderate_crowding,A*,18,18.9602,20.0,1,0.1291,4
moderate_crowding,A*,19,19.33,17.0,1,0.3472,4
moderate_crowding,A*,20,29.6557,35.0,1,0.4962,4
moderate_crowding,A*,21,33.9105,29.0,1,0.2628,4
moderate_crowding,A*,22,30.7336,26.0,1,0.172,4
moderate_crowding,A*,23,33.1044,27.0,1,0.3237,4
moderate_crowding,A*,24,29.3243,25.0,1,0.1716,4
moderate_crowding,A*,25,36.9473,31.0,1,0.4338,4
moderate_crowding,A*,26,27.9026,27.0,1,0.2676,4
moderate_crowding,A*,27,27.1384,25.0,1,0.6827,4
moderate_crowding,A*,28,21.8195,19.0,1,0.1799,4
moderate_crowding,A*,29,15.334,18.0,1,0.1223,4
moderate_crowding,A*,30,20.4382,22.0,1,0.137,4
moderate_crowding,RRT*,1,999.1518,0.0,0,0.146,4
moderate_crowding,RRT*,2,999.1047,0.0,0,0.3153,4
moderate_crowding,RRT*,3,999.1909,0.0,0,0.4052,4
moderate_crowding,RRT*,4,999.066,0.0,0,0.2885,0
moderate_crowding,RRT*,5,999.0935,0.0,0,2.0215,0
moderate_crowding,RRT*,6,999.1218,0.0,0,0.9821,4
moderate_crowding,RRT*,7,999.0993,0.0,0,0.4859,4
moderate_crowding,RRT*,8,999.0784,0.0,0,0.5998,4
moderate_crowding,RRT*,9,999.1989,0.0,0,0.1633,0
moderate_crowding,RRT*,10,999.0851,0.0,0,2.9788,0
moderate_crowding,RRT*,11,999.1604,0.0,0,0.9537,0
moderate_crowding,RRT*,12,21.4249,19.6525,1,0.2568,4
moderate_crowding,RRT*,13,999.1228,0.0,0,0.2117,4
moderate_crowding,RRT*,14,999.1708,0.0,0,0.1964,0
moderate_crowding,RRT*,15,999.1399,0.0,0,0.5083,4
moderate_crowding,RRT*,16,999.1583,0.0,0,0.2247,4
moderate_crowding,RRT*,17,999.1508,0.0,0,0.2898,4
moderate_crowding,RRT*,18,999.151,0.0,0,0.2983,4
moderate_crowding,RRT*,19,999.1344,0.0,0,0.5586,0
moderate_crowding,RRT*,20,999.0954,0.0,0,0.3153,4
moderate_crowding,RRT*,21,999.1725,0.0,0,0.8878,4
moderate_crowding,RRT*,22,15.1194,13.7727,1,2.4359,4
moderate_crowding,RRT*,23,999.1111,0.0,0,1.495,4
moderate_crowding,RRT*,24,999.0996,0.0,0,0.3145,0
moderate_crowding,RRT*,25,999.1242,0.0,0,2.4266,0
moderate_crowding,RRT*,26,999.0901,0.0,0,0.3004,4
moderate_crowding,RRT*,27,999.0814,0.0,0,0.3834,4
moderate_crowding,RRT*,28,999.1738,0.0,0,0.47,4
moderate_crowding,RRT*,29,999.1462,0.0,0,5.2545,0
moderate_crowding,RRT*,30,999.1123,0.0,0,0.0969,0
high_crowding,A*,1,37.3004,30.0,1,0.3297,7
high_crowding,A*,2,17.6648,15.0,1,0.2477,7
high_crowding,A*,3,25.4449,21.0,1,0.2851,7
high_crowding,A*,4,18.9518,18.0,1,0.1006,7
high_crowding,A*,5,21.1659,19.0,1,0.1088,7
high_crowding,A*,6,31.7727,27.0,1,0.214,7
high_crowding,A*,7,23.2465,19.0,1,0.3528,7
high_crowding,A*,8,17.9695,19.0,1,0.2633,7
