scenario,planner,run,response_time_s,path_length_m,success,compute_time_ms,replans
low_crowding,A*,1,29.8458,29.0,1,0.1844,2
low_crowding,A*,2,13.789,16.0,1,0.3882,1
low_crowding,A*,3,24.815,25.0,1,0.1635,2
low_crowding,A*,4,21.3604,25.0,1,0.8967,2
low_crowding,A*,5,23.7441,28.0,1,1.0041,2
low_crowding,A*,6,45.1216,37.0,1,1.7872,2
low_crowding,A*,7,20.8833,24.0,1,0.1451,2
low_crowding,A*,8,41.0905,37.0,1,1.7463,0
low_crowding,A*,9,17.1114,17.0,1,0.3222,2
low_crowding,A*,10,30.9072,35.0,1,1.4851,2
low_crowding,A*,11,30.1054,34.0,1,1.5793,2
low_crowding,A*,12,31.1924,34.0,1,0.1946,0
low_crowding,A*,13,20.1825,21.0,1,0.1453,2
low_crowding,A*,14,19.6306,22.0,1,0.7571,2
low_crowding,A*,15,26.398,27.0,1,0.3113,2
low_crowding,A*,16,18.6573,21.0,1,0.619,2
low_crowding,A*,17,18.7841,17.0,1,0.1095,2
low_crowding,A*,18,17.5929,15.0,1,0.1656,2
low_crowding,A*,19,28.1322,25.0,1,0.1635,2
low_crowding,A*,20,22.5191,19.0,1,0.1235,2
low_crowding,A*,21,18.0166,21.0,1,0.148,2
low_crowding,A*,22,31.7343,28.0,1,1.1757,2
low_crowding,A*,23,30.7653,31.0,1,0.2356,2
low_crowding,A*,24,28.9162,31.0,1,1.225,2
low_crowding,A*,25,15.9993,18.0,1,0.1167,2
low_crowding,A*,26,16.2396,15.0,1,0.2908,2
low_crowding,A*,27,24.6882,24.0,1,0.7784,2
low_crowding,A*,28,31.0214,29.0,1,0.4597,2
low_crowding,A*,29,28.268,29.0,1,0.1908,2
low_crowding,A*,30,20.6086,21.0,1,0.131,2
low_crowding,RRT*,1,999.1968,0.0,0,0.5135,0
low_crowding,RRT*,2,999.1966,0.0,0,0.524,0
low_crowding,RRT*,3,16.6622,16.0088,1,0.3553,2
low_crowding,RRT*,4,999.1134,0.0,0,0.306,2
low_crowding,RRT*,5,999.179,0.0,0,0.121,2
low_crowding,RRT*,6,30.3193,33.5388,1,0.7616,2
low_crowding,RRT*,7,22.0459,23.659,1,0.2317,2
low_crowding,RRT*,8,999.1256,0.0,0,0.5752,2
low_crowding,RRT*,9,29.4107,34.011,1,0.3449,2
low_crowding,RRT*,10,999.1882,0.0,0,0.2908,2
low_crowding,RRT*,11,999.0943,0.0,0,0.139,0
low_crowding,RRT*,12,999.0737,0.0,0,0.5415,0
low_crowding,RRT*,13,999.1409,0.0,0,2.3397,0
low_crowding,RRT*,14,999.1391,0.0,0,0.3406,2
low_crowding,RRT*,15,999.1636,0.0,0,0.2201,0
low_crowding,RRT*,16,999.0616,0.0,0,1.0687,0
low_crowding,RRT*,17,14.3531,14.3585,1,0.2018,2
low_crowding,RRT*,18,999.0755,0.0,0,0.2689,2
low_crowding,RRT*,19,999.1431,0.0,0,0.389,0
low_crowding,RRT*,20,11.7313,13.7082,1,0.2209,2
low_crowding,RRT*,21,999.0724,0.0,0,0.1642,2
low_crowding,RRT*,22,14.0699,16.4164,1,0.1539,2
low_crowding,RRT*,23,999.1545,0.0,0,0.3797,2
low_crowding,RRT*,24,15.289,12.5366,1,0.0975,2
low_crowding,RRT*,25,999.066,0.0,0,2.3445,0
low_crowding,RRT*,26,999.1463,0.0,0,0.6064,0
low_crowding,RRT*,27,999.1895,0.0,0,0.1561,2
low_crowding,RRT*,28,999.131,0.0,0,0.2561,0
low_crowding,RRT*,29,999.075,0.0,0,0.6854,2
low_crowding,RRT*,30,15.8343,16.7727,1,0.0678,2
moderate_crowding,A*,1,48.289,39.0,1,0.3745,4
moderate_crowding,A*,2,25.1367,29.0,1,0.1768,4
moderate_crowding,A*,3,28.3025,30.0,1,0.1913,4
moderate_crowding,A*,4,20.3727,21.0,1,0.1333,4
moderate_crowding,A*,5,19.7829,16.0,1,0.2433,4
moderate_crowding,A*,6,25.4194,22.0,1,0.5798,4
moderate_crowding,A*,7,20.5654,22.0,1,0.1193,4
moderate_crowding,A*,8,28.2669,32.0,1,0.272,4
moderate_crowding,A*,9,25.1962,29.0,1,0.3723,4
moderate_crowding,A*,10,16.009,18.0,1,0.1176,4
moderate_crowding,A*,11,25.363,25.0,1,0.4843,4
moderate_crowding,A*,12,45.3607,42.0,1,1.9825,4
moderate_crowding,A*,13,27.8645,29.0,1,0.2496,4
moderate_crowding,A*,14,26.8894,30.0,1,1.1292,4
moderate_crowding,A*,15,14.2956,16.0,1,0.254,4
moderate_crowding,A*,16,28.7388,23.0,1,0.6818,4
moderate_crowding,A*,17,22.4727,25.0,1,0.1615,4
moderate_crowding,A*,18,17.9531,19.0,1,0.5171,4
moderate_crowding,A*,19,14.8145,15.0,1,0.0921,3
moderate_crowding,A*,20,24.9871,23.0,1,0.1693,4
moderate_crowding,A*,21,28.9363,27.0,1,0.473,4
moderate_crowding,A*,22,31.1579,30.0,1,0.2923,4
moderate_crowding,A*,23,33.1202,27.0,1,0.1608,3
moderate_crowding,A*,24,29.7248,25.0,1,0.4247,4
moderate_crowding,A*,25,45.0813,36.0,1,0.2658,4
moderate_crowding,A*,26,25.4053,29.0,1,1.1792,4
moderate_crowding,A*,27,14.9105,15.0,1,0.2001,4
moderate_crowding,A*,28,29.5359,32.0,1,0.5267,4
moderate_crowding,A*,29,48.0866,42.0,1,2.3325,4
moderate_crowding,A*,30,13.6894,16.0,1,0.2835,4
moderate_crowding,RRT*,1,999.1926,0.0,0,0.2382,4
moderate_crowding,RRT*,2,999.1617,0.0,0,0.5122,0
moderate_crowding,RRT*,3,999.0841,0.0,0,0.2149,4
moderate_crowding,RRT*,4,999.1383,0.0,0,0.1169,4
moderate_crowding,RRT*,5,999.1554,0.0,0,0.2245,4
moderate_crowding,RRT*,6,33.2195,26.8885,1,1.9542,4
moderate_crowding,RRT*,7,999.1163,0.0,0,3.0191,4
moderate_crowding,RRT*,8,999.132,0.0,0,1.0929,4
moderate_crowding,RRT*,9,999.1087,0.0,0,0.5527,0
moderate_crowding,RRT*,10,999.1301,0.0,0,1.0233,0
moderate_crowding,RRT*,11,999.0517,0.0,0,0.563,0
moderate_crowding,RRT*,12,10.7091,11.9443,1,0.0824,4
moderate_crowding,RRT*,13,999.1393,0.0,0,1.8634,4
moderate_crowding,RRT*,14,999.1257,0.0,0,1.0171,4
moderate_crowding,RRT*,15,999.071,0.0,0,0.2092,4
moderate_crowding,RRT*,16,999.116,0.0,0,1.4056,0
moderate_crowding,RRT*,17,999.1933,0.0,0,0.11,0
moderate_crowding,RRT*,18,999.1978,0.0,0,1.6334,0
moderate_crowding,RRT*,19,999.1964,0.0,0,0.1973,4
moderate_crowding,RRT*,20,25.7233,22.7793,1,1.226,4
moderate_crowding,RRT*,21,999.0559,0.0,0,0.4938,4
moderate_crowding,RRT*,22,999.1789,0.0,0,0.4804,4
moderate_crowding,RRT*,23,999.0801,0.0,0,1.5048,4
moderate_crowding,RRT*,24,999.1328,0.0,0,0.5383,0
moderate_crowding,RRT*,25,23.7585,19.3651,1,0.131,4
moderate_crowding,RRT*,26,999.1509,0.0,0,0.481,0
moderate_crowding,RRT*,27,999.201,0.0,0,1.5548,4
moderate_crowding,RRT*,28,999.1632,0.0,0,1.816,0
moderate_crowding,RRT*,29,999.1306,0.0,0,1.9959,0
moderate_crowding,RRT*,30,999.1446,0.0,0,1.0905,4
high_crowding,A*,1,40.8039,36.0,1,0.2089,7
high_crowding,A*,2,18.9758,21.0,1,0.1437,7
high_crowding,A*,3,19.8571,16.0,1,0.3451,7
high_crowding,A*,4,36.3755,35.0,1,0.4635,6
high_crowding,A*,5,29.744,31.0,1,0.2146,7
high_crowding,A*,6,36.1816,40.0,1,0.3835,7
high_crowding,A*,7,36.0471,29.0,1,0.2602,7
high_crowding,A*,8,32.244,28.0,1,0.8111,7
high_crowding,A*,9,20.459,24.0,1,0.6137,7
high_crowding,A*,10,25.9864,21.0,1,0.1639,7
high_crowding,A*,11,17.2638,17.0,1,0.186,7
high_crowding,A*,12,28.9843,25.0,1,0.6675,7
high_crowding,A*,13,18.599,19.0,1,0.1205,7
high_crowding,A*,14,23.1585,23.0,1,0.2291,7
high_crowding,A*,15,28.4518,26.0,1,0.686,7
high_crowding,A*,16,21.1414,25.0,1,0.1664,7
high_crowding,A*,17,16.4453,19.0,1,0.3596,7
high_crowding,A*,18,14.7274,15.0,1,0.1278,7
high_crowding,A*,19,30.2429,34.0,1,0.246,7
high_crowding,A*,20,37.1936,33.0,1,0.3834,7
high_crowding,A*,21,33.8253,32.0,1,0.3788,7
high_crowding,A*,22,18.3783,21.0,1,0.5708,7
high_crowding,A*,23,37.2837,34.0,1,0.9844,7
high_crowding,A*,24,19.3564,17.0,1,0.1044,4
high_crowding,A*,25,21.9884,19.0,1,0.1089,7
high_crowding,A*,26,23.6873,24.0,1,0.1353,7
high_crowding,A*,27,28.1613,27.0,1,0.7823,7
high_crowding,A*,28,15.6061,18.0,1,0.3711,7
high_crowding,A*,29,41.7448,40.0,1,1.073,7
high_crowding,A*,30,22.9279,26.0,1,0.284,7
high_crowding,RRT*,1,999.1107,0.0,0,0.42,7
high_crowding,RRT*,2,999.1258,0.0,0,0.3627,7
high_crowding,RRT*,3,999.0676,0.0,0,0.3348,7
high_crowding,RRT*,4,999.1846,0.0,0,0.3425,0
high_crowding,RRT*,5,999.0895,0.0,0,0.4322,0
high_crowding,RRT*,6,999.1532,0.0,0,27.0209,0
high_crowding,RRT*,7,999.0613,0.0,0,0.1607,7
high_crowding,RRT*,8,999.1427,0.0,0,2.215,0
high_crowding,RRT*,9,999.2005,0.0,0,1.6273,0
high_crowding,RRT*,10,999.0815,0.0,0,0.6431,0
high_crowding,RRT*,11,999.1789,0.0,0,0.39,7
high_crowding,RRT*,12,999.1006,0.0,0,2.1597,0
high_crowding,RRT*,13,999.1095,0.0,0,0.3155,0
high_crowding,RRT*,14,999.1168,0.0,0,0.8945,7
high_crowding,RRT*,15,999.1776,0.0,0,0.5691,7
high_crowding,RRT*,16,999.1095,0.0,0,1.6512,0
high_crowding,RRT*,17,999.0751,0.0,0,0.6717,0
high_crowding,RRT*,18,999.1843,0.0,0,2.1622,7
high_crowding,RRT*,19,999.0699,0.0,0,3.1476,0
high_crowding,RRT*,20,999.1412,0.0,0,0.1857,7
high_crowding,RRT*,21,999.1166,0.0,0,3.3181,7
high_crowding,RRT*,22,999.1343,0.0,0,0.1335,7
high_crowding,RRT*,23,999.0864,0.0,0,1.6591,0
high_crowding,RRT*,24,999.1329,0.0,0,12.9209,7
high_crowding,RRT*,25,999.0577,0.0,0,0.6755,7
high_crowding,RRT*,26,999.0774,0.0,0,0.4108,7
high_crowding,RRT*,27,999.1932,0.0,0,0.1878,7
high_crowding,RRT*,28,999.1002,0.0,0,2.2152,7
high_crowding,RRT*,29,999.1111,0.0,0,2.0265,0
high_crowding,RRT*,30,999.0798,0.0,0,0.733,7
