scenario,planner,run,response_time_s,path_length_m,success,compute_time_ms,replans
low_crowding,A*,1,29.0459,30.0,1,1.2428,0
low_crowding,A*,2,24.5875,25.0,1,0.1574,2
low_crowding,A*,3,18.3111,20.0,1,0.1166,2
low_crowding,A*,4,30.0052,24.0,1,0.6968,2
low_crowding,A*,5,20.4453,24.0,1,0.2137,2
low_crowding,A*,6,37.29,33.0,1,1.2637,2
low_crowding,A*,7,28.8832,30.0,1,0.1913,2
low_crowding,A*,8,15.3029,18.0,1,0.1178,2
low_crowding,A*,9,18.3279,21.0,1,0.1391,2
low_crowding,A*,10,28.9547,33.0,1,0.2142,2
low_crowding,A*,11,26.6294,24.0,1,0.6461,2
low_crowding,A*,12,17.2368,19.0,1,0.1211,2
low_crowding,A*,13,14.7885,15.0,1,0.3044,2
low_crowding,A*,14,18.2228,21.0,1,0.144,2
low_crowding,A*,15,34.5422,35.0,1,0.3314,2
low_crowding,A*,16,33.3592,27.0,1,0.1732,2
low_crowding,A*,17,27.8805,23.0,1,0.5493,2
low_crowding,A*,18,20.8567,19.0,1,0.3995,2
low_crowding,A*,19,41.3156,46.0,1,0.3068,1
low_crowding,A*,20,29.2033,34.0,1,1.6633,2
low_crowding,A*,21,24.9033,29.0,1,0.1692,2
low_crowding,A*,22,19.6369,16.0,1,0.1785,2
low_crowding,A*,23,20.6892,23.0,1,0.1427,2
low_crowding,A*,24,21.5704,18.0,1,0.1145,2
low_crowding,A*,25,23.2813,27.0,1,0.4247,2
low_crowding,A*,26,28.5217,23.0,1,0.6875,2
low_crowding,A*,27,23.2076,19.0,1,0.5796,2
low_crowding,A*,28,34.7542,33.0,1,0.2431,2
low_crowding,A*,29,29.1633,33.0,1,1.4624,2
low_crowding,A*,30,22.0656,24.0,1,0.7924,2
low_crowding,RRT*,1,999.0911,0.0,0,0.3984,0
low_crowding,RRT*,2,23.8227,21.423,1,0.2081,2
low_crowding,RRT*,3,999.1264,0.0,0,0.1522,2
low_crowding,RRT*,4,999.1887,0.0,0,1.0492,2
low_crowding,RRT*,5,23.4505,27.5454,1,0.3615,2
low_crowding,RRT*,6,28.2007,29.8306,1,0.3244,2
low_crowding,RRT*,7,999.1088,0.0,0,0.1666,2
low_crowding,RRT*,8,999.111,0.0,0,0.574,2
low_crowding,RRT*,9,999.0976,0.0,0,0.7572,0
low_crowding,RRT*,10,999.1475,0.0,0,22.8078,0
low_crowding,RRT*,11,999.144,0.0,0,0.2852,2
low_crowding,RRT*,12,14.5416,15.129,1,0.2989,2
low_crowding,RRT*,13,28.8165,34.3673,1,1.0297,2
low_crowding,RRT*,14,999.0687,0.0,0,0.57,2
low_crowding,RRT*,15,999.1844,0.0,0,0.2435,2
low_crowding,RRT*,16,999.166,0.0,0,0.6809,2
low_crowding,RRT*,17,31.753,35.6656,1,1.0786,2
low_crowding,RRT*,18,22.5776,19.423,1,0.1105,2
low_crowding,RRT*,19,999.1495,0.0,0,0.3221,2
low_crowding,RRT*,20,23.356,20.2514,1,0.3324,2
low_crowding,RRT*,21,999.1052,0.0,0,0.1815,2
low_crowding,RRT*,22,999.0564,0.0,0,2.5197,0
low_crowding,RRT*,23,999.0663,0.0,0,2.3956,0
low_crowding,RRT*,24,15.1907,15.3006,1,0.4708,2
low_crowding,RRT*,25,999.0873,0.0,0,0.2722,0
low_crowding,RRT*,26,999.1632,0.0,0,0.2438,2
low_crowding,RRT*,27,11.8394,13.5366,1,0.2797,2
low_crowding,RRT*,28,999.1971,0.0,0,0.73,2
low_crowding,RRT*,29,999.1378,0.0,0,0.2052,2
low_crowding,RRT*,30,33.7195,34.1246,1,0.2565,2
moderate_crowding,A*,1,29.1728,30.0,1,0.2069,4
moderate_crowding,A*,2,23.692,22.0,1,0.2116,4
moderate_crowding,A*,3,21.2527,20.0,1,0.5254,4
moderate_crowding,A*,4,20.6733,18.0,1,0.142,4
moderate_crowding,A*,5,29.9849,35.0,1,0.2174,3
moderate_crowding,A*,6,17.3913,20.0,1,0.4653,4
moderate_crowding,A*,7,49.2241,47.0,1,0.5065,4
moderate_crowding,A*,8,22.5198,26.0,1,0.1282,4
moderate_crowding,A*,9,23.6475,26.0,1,0.7795,4
moderate_crowding,A*,10,34.8922,37.0,1,1.3949,4
moderate_crowding,A*,11,20.6325,17.0,1,0.3346,4
moderate_crowding,A*,12,35.4779,34.0,1,1.2784,4
moderate_crowding,A*,13,19.6865,21.0,1,0.1378,4
moderate_crowding,A*,14,22.9583,21.0,1,0.2255,4
moderate_crowding,A*,15,20.4785,24.0,1,0.182,4
moderate_crowding,A*,16,16.5259,16.0,1,0.2287,4
moderate_crowding,A*,17,20.945,24.0,1,0.5378,4
moderate_crowding,A*,18,20.4763,20.0,1,0.438,4
moderate_crowding,A*,19,30.5203,31.0,1,0.9425,4
moderate_crowding,A*,20,32.5119,27.0,1,0.3316,4
moderate_crowding,A*,21,27.7798,25.0,1,0.5767,4
moderate_crowding,A*,22,28.3958,27.0,1,0.6912,4
moderate_crowding,A*,23,22.4809,26.0,1,0.6658,4
moderate_crowding,A*,24,29.0814,25.0,1,0.1805,3
moderate_crowding,A*,25,21.5417,23.0,1,0.8207,4
moderate_crowding,A*,26,60.0776,49.0,1,0.3936,4
moderate_crowding,A*,27,19.5409,23.0,1,0.1436,4
moderate_crowding,A*,28,32.8266,27.0,1,0.9203,4
moderate_crowding,A*,29,16.561,19.0,1,0.1109,4
moderate_crowding,A*,30,36.6688,32.0,1,1.2643,2
moderate_crowding,RRT*,1,17.9035,16.1803,1,0.6478,4
moderate_crowding,RRT*,2,999.1193,0.0,0,0.2055,4
moderate_crowding,RRT*,3,999.0576,0.0,0,0.2664,4
moderate_crowding,RRT*,4,999.1856,0.0,0,0.6523,0
moderate_crowding,RRT*,5,999.1656,0.0,0,3.162,0
moderate_crowding,RRT*,6,999.1793,0.0,0,0.5834,0
moderate_crowding,RRT*,7,999.0733,0.0,0,0.95,0
moderate_crowding,RRT*,8,999.1162,0.0,0,3.7156,0
moderate_crowding,RRT*,9,999.1603,0.0,0,1.1211,0
moderate_crowding,RRT*,10,999.132,0.0,0,0.1578,4
moderate_crowding,RRT*,11,999.0685,0.0,0,1.0315,4
moderate_crowding,RRT*,12,999.1562,0.0,0,0.222,0
moderate_crowding,RRT*,13,999.1345,0.0,0,0.5464,0
moderate_crowding,RRT*,14,999.0871,0.0,0,0.2579,4
moderate_crowding,RRT*,15,999.1302,0.0,0,0.969,4
moderate_crowding,RRT*,16,999.1554,0.0,0,0.6334,0
moderate_crowding,RRT*,17,999.168,0.0,0,1.2353,0
moderate_crowding,RRT*,18,999.1515,0.0,0,6.2805,0
moderate_crowding,RRT*,19,999.1638,0.0,0,0.9017,0
moderate_crowding,RRT*,20,999.1566,0.0,0,0.3274,4
moderate_crowding,RRT*,21,999.0827,0.0,0,0.4464,4
moderate_crowding,RRT*,22,999.116,0.0,0,0.3359,4
