scenario,planner,run,response_time_s,path_length_m,success,compute_time_ms,replans
low_crowding,A*,1,30.9636,28.0,1,0.2559,2
low_crowding,A*,2,33.3624,30.0,1,0.2257,2
low_crowding,A*,3,13.142,15.0,1,0.0938,2
low_crowding,A*,4,14.6328,17.0,1,0.1492,2
low_crowding,A*,5,19.106,21.0,1,0.133,2
low_crowding,A*,6,34.2062,32.0,1,0.2585,1
low_crowding,A*,7,28.867,26.0,1,0.504,2
low_crowding,A*,8,19.2181,18.0,1,0.1009,2
low_crowding,A*,9,28.3302,28.0,1,1.0737,0
low_crowding,A*,10,38.3011,42.0,1,0.26,0
low_crowding,A*,11,21.6496,22.0,1,0.2511,2
low_crowding,A*,12,34.8094,31.0,1,1.1778,1
low_crowding,A*,13,30.6877,28.0,1,0.9879,2
low_crowding,A*,14,21.0786,25.0,1,0.1615,2
low_crowding,A*,15,16.9322,16.0,1,0.3977,2
low_crowding,A*,16,48.8556,42.0,1,0.2705,2
low_crowding,A*,17,38.7439,35.0,1,1.6802,2
low_crowding,A*,18,23.3785,26.0,1,0.1833,2
low_crowding,A*,19,19.3383,21.0,1,0.2933,2
low_crowding,A*,20,22.8277,25.0,1,0.1549,1
low_crowding,A*,21,29.7337,33.0,1,1.3665,2
low_crowding,A*,22,18.7427,20.0,1,0.1146,2
low_crowding,A*,23,17.7366,19.0,1,0.1076,2
low_crowding,A*,24,22.5143,25.0,1,0.1483,2
low_crowding,A*,25,16.4273,17.0,1,0.4332,2
low_crowding,A*,26,33.1448,29.0,1,0.2474,2
low_crowding,A*,27,19.8827,20.0,1,0.5453,2
low_crowding,A*,28,17.7454,15.0,1,0.2539,1
low_crowding,A*,29,26.245,30.0,1,0.8733,2
low_crowding,A*,30,14.2793,16.0,1,0.3831,2
low_crowding,RRT*,1,999.097,0.0,0,0.2488,2
low_crowding,RRT*,2,999.0937,0.0,0,0.4283,2
low_crowding,RRT*,3,999.1999,0.0,0,0.4001,2
low_crowding,RRT*,4,999.1199,0.0,0,0.5497,0
low_crowding,RRT*,5,999.1032,0.0,0,0.3166,2
low_crowding,RRT*,6,999.0699,0.0,0,0.7491,0
low_crowding,RRT*,7,999.128,0.0,0,0.3469,2
low_crowding,RRT*,8,28.4606,23.0667,1,0.1557,2
low_crowding,RRT*,9,999.1415,0.0,0,2.284,2
low_crowding,RRT*,10,999.1077,0.0,0,0.187,2
low_crowding,RRT*,11,999.1836,0.0,0,1.3338,0
low_crowding,RRT*,12,999.1204,0.0,0,0.2932,0
low_crowding,RRT*,13,999.1952,0.0,0,0.2606,0
low_crowding,RRT*,14,24.714,22.8951,1,0.3256,2
low_crowding,RRT*,15,13.6465,16.1803,1,0.5742,2
low_crowding,RRT*,16,999.0745,0.0,0,3.7252,0
low_crowding,RRT*,17,999.0825,0.0,0,2.52,0
low_crowding,RRT*,18,999.126,0.0,0,0.5453,2
low_crowding,RRT*,19,999.0532,0.0,0,0.3982,0
low_crowding,RRT*,20,21.1154,17.3585,1,0.2081,2
low_crowding,RRT*,21,15.3952,13.7082,1,0.4843,2
low_crowding,RRT*,22,30.0743,27.8885,1,0.2749,2
low_crowding,RRT*,23,999.0791,0.0,0,0.5188,0
low_crowding,RRT*,24,15.7932,17.1224,1,0.2026,2
low_crowding,RRT*,25,999.1282,0.0,0,0.3521,2
low_crowding,RRT*,26,19.3352,17.1224,1,0.2666,2
low_crowding,RRT*,27,999.1892,0.0,0,0.2808,0
low_crowding,RRT*,28,23.3033,22.1803,1,0.2587,2
low_crowding,RRT*,29,999.0948,0.0,0,1.2854,0
low_crowding,RRT*,30,999.1387,0.0,0,0.4029,0
moderate_crowding,A*,1,30.7307,25.0,1,0.5933,4
moderate_crowding,A*,2,24.2637,28.0,1,0.4015,4
moderate_crowding,A*,3,27.4699,23.0,1,0.5204,4
moderate_crowding,A*,4,20.0504,21.0,1,0.2011,3
moderate_crowding,A*,5,18.9346,22.0,1,0.5293,4
moderate_crowding,A*,6,22.7273,24.0,1,0.8672,4
moderate_crowding,A*,7,15.8393,16.0,1,0.3346,4
moderate_crowding,A*,8,63.6917,51.0,1,0.5105,4
moderate_crowding,A*,9,40.3198,33.0,1,0.5266,4
moderate_crowding,A*,10,18.6574,17.0,1,0.1112,4
moderate_crowding,A*,11,20.5993,21.0,1,0.2294,4
moderate_crowding,A*,12,20.3778,23.0,1,0.8687,4
moderate_crowding,A*,13,43.4513,35.0,1,0.3236,4
moderate_crowding,A*,14,19.7795,18.0,1,0.1713,4
moderate_crowding,A*,15,19.8238,17.0,1,0.3567,4
moderate_crowding,A*,16,26.0644,31.0,1,0.362,4
moderate_crowding,A*,17,54.0701,45.0,1,2.55,4
moderate_crowding,A*,18,15.1783,15.0,1,0.0832,0
moderate_crowding,A*,19,20.3556,23.0,1,0.5215,4
moderate_crowding,A*,20,20.999,23.0,1,0.147,4
moderate_crowding,A*,21,22.2188,26.0,1,0.1659,4
moderate_crowding,A*,22,38.3698,31.0,1,0.3764,4
moderate_crowding,A*,23,27.3833,27.0,1,0.936,2
moderate_crowding,A*,24,17.5175,19.0,1,0.1533,4
moderate_crowding,A*,25,24.1612,21.0,1,0.1745,4
moderate_crowding,A*,26,18.6565,22.0,1,0.331,4
moderate_crowding,A*,27,19.9038,22.0,1,0.1874,4
moderate_crowding,A*,28,24.8018,20.0,1,0.5022,4
moderate_crowding,A*,29,23.7675,24.0,1,0.204,4
moderate_crowding,A*,30,28.0976,24.0,1,0.1856,4
moderate_crowding,RRT*,1,999.1903,0.0,0,0.7018,4
moderate_crowding,RRT*,2,999.1142,0.0,0,1.3238,0
moderate_crowding,RRT*,3,999.0855,0.0,0,0.1582,0
moderate_crowding,RRT*,4,999.083,0.0,0,0.49,0
moderate_crowding,RRT*,5,999.1594,0.0,0,0.3405,4
moderate_crowding,RRT*,6,999.0504,0.0,0,0.3503,4
moderate_crowding,RRT*,7,999.1389,0.0,0,0.7558,0
moderate_crowding,RRT*,8,999.0517,0.0,0,0.2792,4
moderate_crowding,RRT*,9,999.1841,0.0,0,0.1328,4
moderate_crowding,RRT*,10,999.1407,0.0,0,0.4477,4
moderate_crowding,RRT*,11,999.1373,0.0,0,0.3476,0
moderate_crowding,RRT*,12,999.0671,0.0,0,2.187,0
