scenario,planner,run,response_time_s,path_length_m,success,compute_time_ms,replans
low_crowding,A*,1,19.2905,22.0,1,0.1437,2
low_crowding,A*,2,30.3579,31.0,1,0.203,2
low_crowding,A*,3,19.4375,19.0,1,0.1365,2
low_crowding,A*,4,20.495,20.0,1,0.5178,2
low_crowding,A*,5,27.8583,25.0,1,0.8683,2
low_crowding,A*,6,18.7724,19.0,1,0.1727,2
low_crowding,A*,7,15.8684,15.0,1,0.251,2
low_crowding,A*,8,25.263,24.0,1,0.8208,2
low_crowding,A*,9,22.1423,25.0,1,0.1599,2
low_crowding,A*,10,41.4626,39.0,1,2.0458,2
low_crowding,A*,11,26.0416,25.0,1,0.2249,2
low_crowding,A*,12,24.105,21.0,1,0.1818,0
low_crowding,A*,13,29.89,27.0,1,0.9291,2
low_crowding,A*,14,25.0979,22.0,1,0.1499,2
low_crowding,A*,15,20.8825,24.0,1,0.1557,2
low_crowding,A*,16,29.9035,26.0,1,0.8951,2
low_crowding,A*,17,21.419,25.0,1,0.1414,2
low_crowding,A*,18,28.8175,29.0,1,0.7625,2
low_crowding,A*,19,32.2611,28.0,1,0.2168,2
low_crowding,A*,20,22.6193,27.0,1,0.977,2
low_crowding,A*,21,31.9832,37.0,1,0.241,2
low_crowding,A*,22,29.7749,32.0,1,1.2915,2
low_crowding,A*,23,29.3527,30.0,1,1.1348,2
low_crowding,A*,24,26.3581,22.0,1,0.206,2
low_crowding,A*,25,22.2112,26.0,1,0.1678,2
low_crowding,A*,26,26.0549,24.0,1,0.1668,1
low_crowding,A*,27,20.8708,18.0,1,0.1874,2
low_crowding,A*,28,29.8271,32.0,1,0.8932,2
low_crowding,A*,29,20.5139,22.0,1,0.6031,2
low_crowding,A*,30,42.7617,45.0,1,2.5699,2
low_crowding,RRT*,1,999.1488,0.0,0,0.4211,2
low_crowding,RRT*,2,999.0888,0.0,0,1.5384,0
low_crowding,RRT*,3,999.1805,0.0,0,0.6308,1
low_crowding,RRT*,4,999.0866,0.0,0,0.369,2
low_crowding,RRT*,5,999.0579,0.0,0,0.6848,0
low_crowding,RRT*,6,999.1394,0.0,0,0.7899,0
low_crowding,RRT*,7,23.8946,24.717,1,0.5248,2
low_crowding,RRT*,8,999.1514,0.0,0,0.59,2
low_crowding,RRT*,9,999.1924,0.0,0,4.4868,0
low_crowding,RRT*,10,999.1916,0.0,0,0.4775,0
low_crowding,RRT*,11,24.4939,19.9508,1,0.7304,2
low_crowding,RRT*,12,15.2154,16.8306,1,0.2129,2
low_crowding,RRT*,13,999.0679,0.0,0,0.4436,2
low_crowding,RRT*,14,999.0878,0.0,0,2.0078,0
low_crowding,RRT*,15,999.1087,0.0,0,0.6722,2
low_crowding,RRT*,16,999.0698,0.0,0,0.3812,2
low_crowding,RRT*,17,999.1099,0.0,0,1.8886,2
low_crowding,RRT*,18,999.1715,0.0,0,0.361,2
low_crowding,RRT*,19,47.2396,38.9552,1,0.4479,2
low_crowding,RRT*,20,999.1143,0.0,0,0.253,2
low_crowding,RRT*,21,999.1745,0.0,0,0.4268,2
